
Tracing route to lb.wordpress.com [192.0.78.12]
over a maximum of 30 hops:

  1     1 ms     1 ms     1 ms  192.168.1.1 
  2     9 ms     8 ms     9 ms  d4-50-1-104.nap.wideopenwest.com [50.4.104.1] 
  3    10 ms    10 ms     9 ms  dynamic-76-73-171-177.knology.net [76.73.171.177] 
  4    16 ms    10 ms     9 ms  dynamic-75-76-35-3.knology.net [75.76.35.3] 
  5    16 ms    16 ms    19 ms  dynamic-75-76-35-51.knology.net [75.76.35.51] 
  6    15 ms    40 ms    15 ms  dynamic-75-76-35-10.knology.net [75.76.35.10] 
  7    16 ms    20 ms    16 ms  dynamic-75-76-35-6.knology.net [75.76.35.6] 
  8    15 ms    17 ms    36 ms  eqix-ch1.automattic.com [208.115.136.239] 
  9    16 ms    16 ms    16 ms  192.0.78.12 

Trace complete.
